from_agg_id,level_id,to_agg_id
3209,1,1605
608,1,304
692,1,348
1176,1,588
3389,1,1693
2379,1,1191
2863,1,1431
2905,1,1453
830,1,414
346,1,174
304,1,152
2075,1,1039
650,1,326
1134,1,566
1810,1,906
81,1,41
2353,1,1177
3308,1,1656
2665,1,1333
2996,1,1500
724,1,364
412,1,208
2122,1,1062
1267,1,635
1479,1,739
862,1,430
3208,1,1604
2565,1,1281
319,1,159
293,1,145
2022,1,1010
2048,1,1024
3546,1,1774
2115,1,1059
1572,1,788
929,1,465
386,1,194
3003,1,1503
3446,1,1722
1174,1,586
1717,1,857
624,1,312
2360,1,1180
1167,1,583
2903,1,1451
148,1,76
3241,1,1621
1200,1,600
1234,1,618
557,1,277
2598,1,1298
286,1,142
2936,1,1468
1505,1,753
1989,1,993
895,1,447
2624,1,1312
1981,1,989
2970,1,1486
419,1,211
903,1,451
2293,1,1145
2148,1,1076
2632,1,1316
3572,1,1788
2327,1,1163
1546,1,774
107,1,55
591,1,295
1843,1,923
1539,1,771
3275,1,1639
114,1,58
598,1,298
3413,1,1705
2929,1,1465
22,1,10
590,1,294
1776,1,888
3480,1,1740
3149,1,1573
1208,1,604
2319,1,1159
2606,1,1302
3174,1,1586
47,1,23
1751,1,875
921,1,461
658,1,330
378,1,190
2937,1,1469
1844,1,924
2081,1,1041
115,1,59
327,1,163
285,1,141
2301,1,1149
2869,1,1433
2014,1,1006
2056,1,1028
1471,1,735
3200,1,1600
963,1,483
3505,1,1753
420,1,212
1876,1,940
1513,1,757
683,1,343
3242,1,1622
616,1,308
988,1,496
3547,1,1775
1472,1,736
2055,1,1027
1818,1,910
3438,1,1718
89,1,45
1709,1,853
3300,1,1652
3521,1,1761
2427,1,1215
2911,1,1455
962,1,482
1446,1,722
394,1,198
352,1,176
2995,1,1499
3479,1,1739
3175,1,1587
2123,1,1063
2691,1,1347
311,1,155
48,1,24
353,1,177
837,1,417
3133,1,1565
2386,1,1194
2870,1,1434
657,1,329
1141,1,569
2732,1,1368
3216,1,1608
106,1,54
1242,1,622
2378,1,1190
1785,1,893
649,1,325
3233,1,1617
2097,1,1049
2428,1,1216
699,1,351
1835,1,919
2971,1,1487
6,1,2
56,1,28
1192,1,596
3445,1,1721
599,1,299
2385,1,1193
987,1,495
3571,1,1787
444,1,224
2716,1,1360
1437,1,717
3183,1,1591
2640,1,1320
3166,1,1582
261,1,129
1997,1,997
2623,1,1311
1454,1,726
1768,1,884
632,1,316
716,1,360
39,1,19
1718,1,858
1802,1,902
666,1,334
73,1,37
1125,1,561
2114,1,1058
2707,1,1355
2361,1,1181
2845,1,1421
2978,1,1490
3462,1,1730
2452,1,1228
335,1,167
1580,1,792
2064,1,1032
2030,1,1014
1504,1,752
861,1,429
377,1,189
854,1,426
2106,1,1054
2590,1,1294
370,1,186
1726,1,862
2294,1,1146
2862,1,1430
565,1,281
1701,1,849
2269,1,1133
1133,1,565
303,1,151
3267,1,1635
995,1,499
2131,1,1067
1588,1,796
2724,1,1364
3554,1,1778
708,1,356
2961,1,1481
1538,1,770
3512,1,1756
928,1,464
1496,1,748
3487,1,1743
953,1,477
3225,1,1613
2699,1,1351
2156,1,1080
2682,1,1342
140,1,72
3529,1,1765
970,1,486
1852,1,928
2336,1,1168
2420,1,1212
691,1,347
1175,1,587
2311,1,1155
607,1,303
123,1,63
1259,1,631
1743,1,871
1827,1,915
14,1,6
98,1,50
582,1,290
2657,1,1329
3141,1,1569
1521,1,761
2005,1,1001
3250,1,1626
345,1,173
2573,1,1285
1563,1,783
2047,1,1023
2089,1,1045
3292,1,1648
2715,1,1359
674,1,338
1217,1,609
1860,1,932
2403,1,1203
3258,1,1630
131,1,67
269,1,133
2615,1,1307
2072,1,1036
1429,1,713
1455,1,727
912,1,456
886,1,442
3158,1,1578
2641,1,1321
3020,1,1512
369,1,185
2098,1,1050
3563,1,1783
1555,1,779
1834,1,918
1012,1,508
2377,1,1189
3284,1,1644
2920,1,1460
700,1,352
1191,1,595
3463,1,1731
1734,1,866
3470,1,1734
5,1,1
2277,1,1137
64,1,32
1284,1,644
1150,1,574
641,1,321
1462,1,730
336,1,168
3191,1,1595
2894,1,1446
979,1,491
2708,1,1356
633,1,317
2853,1,1425
1276,1,640
1760,1,880
3496,1,1748
31,1,15
1767,1,883
3199,1,1599
1158,1,578
2581,1,1289
2013,1,1005
2912,1,1456
640,1,320
2344,1,1172
1183,1,591
2887,1,1443
615,1,307
328,1,164
65,1,33
1514,1,758
945,1,473
3217,1,1609
2444,1,1224
1251,1,627
2674,1,1338
853,1,425
3504,1,1752
2343,1,1171
2582,1,1290
310,1,154
1488,1,744
2039,1,1019
2318,1,1158
2886,1,1442
1184,1,592
946,1,474
2979,1,1491
1250,1,626
3522,1,1762
2139,1,1071
1793,1,897
1693,1,845
1209,1,605
395,1,199
132,1,68
879,1,439
2954,1,1478
2302,1,1150
573,1,285
2164,1,1084
2648,1,1324
1225,1,613
2953,1,1477
3437,1,1717
436,1,220
920,1,460
878,1,438
2607,1,1303
90,1,46
574,1,286
2649,1,1325
3283,1,1643
156,1,80
1292,1,648
2690,1,1346
1742,1,870
1142,1,570
2878,1,1438
549,1,273
2285,1,1141
3421,1,1709
1149,1,573
1792,1,896
2928,1,1464
2335,1,1167
3471,1,1735
1547,1,775
2073,1,1037
1004,1,504
1530,1,766
3259,1,1631
361,1,181
2402,1,1202
2945,1,1473
2090,1,1046
904,1,452
1430,1,714
887,1,443
344,1,172
2673,1,1337
3157,1,1577
3004,1,1504
3488,1,1744
675,1,339
2411,1,1207
2895,1,1447
23,1,11
1275,1,639
1759,1,879
682,1,342
1166,1,582
937,1,469
1421,1,709
411,1,207
1463,1,731
2140,1,1072
2666,1,1334
3150,1,1574
3192,1,1596
1497,1,749
3454,1,1726
3538,1,1770
1725,1,861
1809,1,905
2369,1,1185
294,1,146
2023,1,1011
3012,1,1508
1283,1,643
2631,1,1315
3224,1,1612
1258,1,630
3530,1,1766
2394,1,1198
1801,1,901
665,1,333
971,1,487
428,1,216
1564,1,784
1851,1,927
2987,1,1495
2557,1,1277
2031,1,1015
2599,1,1299
845,1,421
1413,1,705
40,1,20
3429,1,1713
2861,1,1429
870,1,434
2574,1,1286
302,1,150
15,1,7
2962,1,1482
2436,1,1220
707,1,355
1233,1,617
403,1,203
2419,1,1211
2132,1,1068
3182,1,1590
3266,1,1634
3291,1,1647
1868,1,936
1216,1,608
2352,1,1176
623,1,311
82,1,42
2683,1,1343
124,1,64
277,1,137
3513,1,1757
954,1,478
1438,1,718
1522,1,762
2006,1,1002
1300,1,652
1784,1,892
1826,1,914
2310,1,1154
996,1,500
3555,1,1779
1480,1,740
1579,1,791
1891,1,947
1036,1,520
393,1,197
2434,1,1218
2977,1,1489
3215,1,1607
943,1,471
936,1,468
2672,1,1336
2029,1,1013
1486,1,742
3315,1,1659
1274,1,638
1817,1,909
2772,1,1388
2129,1,1065
188,1,96
2460,1,1232
731,1,367
2910,1,1454
3453,1,1725
1181,1,589
88,1,44
1824,1,912
631,1,315
2367,1,1183
3553,1,1777
426,1,214
910,1,454
2155,1,1079
2639,1,1319
2951,1,1475
869,1,433
2605,1,1301
1858,1,930
129,1,65
1519,1,759
1512,1,756
3248,1,1624
1884,1,944
1207,1,603
155,1,79
1241,1,621
1553,1,777
1248,1,624
764,1,384
3282,1,1642
1850,1,926
2334,1,1166
121,1,61
605,1,301
460,1,232
2196,1,1100
2400,1,1200
2375,1,1187
877,1,437
1445,1,721
2731,1,1367
2468,1,1236
739,1,371
452,1,228
3011,1,1507
1308,1,656
1545,1,773
1282,1,642
3561,1,1781
1002,1,502
3274,1,1638
3256,1,1628
1240,1,620
672,1,336
2070,1,1034
2426,1,1214
2163,1,1083
2969,1,1485
697,1,349
977,1,489
434,1,218
2706,1,1354
147,1,75
3010,1,1506
3494,1,1746
2442,1,1222
367,1,183
935,1,467
2096,1,1048
2664,1,1332
1044,1,524
1612,1,808
3519,1,1759
2401,1,1201
2885,1,1441
326,1,162
1571,1,787
2705,1,1353
3189,1,1593
1266,1,634
1750,1,874
698,1,350
1182,1,590
21,1,9
3036,1,1520
3520,1,1760
1307,1,655
1791,1,895
1487,1,743
62,1,30
1003,1,503
2359,1,1179
3495,1,1747
1766,1,882
3502,1,1750
630,1,314
2902,1,1450
656,1,328
37,1,17
1173,1,585
2309,1,1153
2909,1,1453
2747,1,1375
1316,1,660
1842,1,922
113,1,57
1859,1,931
3028,1,1516
1561,1,781
130,1,66
756,1,380
3290,1,1646
1299,1,651
911,1,455
2647,1,1323
2104,1,1052
894,1,446
368,1,184
918,1,458
392,1,196
985,1,493
2121,1,1061
385,1,193
978,1,490
2714,1,1358
1628,1,816
2764,1,1384
2368,1,1184
1733,1,865
639,1,319
723,1,363
1249,1,625
1892,1,948
2376,1,1188
647,1,323
2154,1,1078
2638,1,1318
163,1,83
1511,1,755
301,1,149
2037,1,1017
1020,1,512
3240,1,1620
2680,1,1340
459,1,231
2188,1,1096
1052,1,528
3018,1,1510
2418,1,1210
1825,1,913
689,1,345
402,1,202
1800,1,900
54,1,26
1758,1,878
1232,1,616
2326,1,1162
29,1,13
597,1,297
71,1,35
2613,1,1305
2944,1,1472
2045,1,1021
1215,1,607
1783,1,891
901,1,449
427,1,215
2630,1,1314
1620,1,812
2087,1,1043
2986,1,1494
1257,1,629
1578,1,790
2062,1,1030
3307,1,1655
2171,1,1087
2655,1,1327
96,1,48
180,1,92
138,1,70
622,1,310
706,1,354
1190,1,594
664,1,332
2697,1,1349
3181,1,1589
3265,1,1633
2351,1,1175
2435,1,1219
2919,1,1459
1867,1,935
360,1,180
968,1,484
3569,1,1785
1010,1,506
1494,1,746
3527,1,1763
2739,1,1371
3223,1,1611
2393,1,1197
2877,1,1437
318,1,158
443,1,223
2484,1,1244
2172,1,1088
3027,1,1515
1529,1,765
1298,1,650
3570,1,1786
1841,1,921
986,1,494
343,1,171
2079,1,1039
1536,1,768
893,1,445
3165,1,1581
2622,1,1310
350,1,174
748,1,376
1291,1,647
3239,1,1619
105,1,53
2689,1,1345
648,1,324
2384,1,1192
655,1,327
2927,1,1463
2146,1,1074
1603,1,803
1198,1,598
1741,1,869
3477,1,1737
3332,1,1668
2105,1,1053
2589,1,1293
2417,1,1209
2901,1,1449
1503,1,751
3060,1,1532
3544,1,1772
1019,1,511
2748,1,1376
3232,1,1616
1469,1,733
722,1,362
3537,1,1769
3198,1,1598
2451,1,1227
2112,1,1056
376,1,188
2410,1,1206
681,1,341
1165,1,581
1324,1,664
1808,1,904
2722,1,1362
3206,1,1602
79,1,39
38,1,18
1774,1,886
1027,1,515
2756,1,1380
2113,1,1057
3503,1,1751
2968,1,1484
3536,1,1768
309,1,153
1470,1,734
2038,1,1018
1595,1,799
1332,1,668
1875,1,939
3324,1,1664
172,1,88
146,1,74
409,1,205
715,1,359
2138,1,1070
3231,1,1615
3273,1,1637
2688,1,1344
2730,1,1366
3298,1,1650
1775,1,887
46,1,22
614,1,306
589,1,293
1157,1,577
3173,1,1585
1900,1,952
2443,1,1223
410,1,206
171,1,87
714,1,358
2993,1,1497
1596,1,800
2926,1,1462
2358,1,1178
451,1,227
476,1,240
960,1,480
2180,1,1092
1528,1,764
3035,1,1519
3257,1,1629
2994,1,1498
3478,1,1738
1265,1,633
1749,1,873
435,1,219
919,1,459
2621,1,1309
2179,1,1091
2663,1,1331
3340,1,1672
104,1,52
3299,1,1651
3562,1,1782
1833,1,917
2317,1,1157
325,1,161
740,1,372
1224,1,612
1570,1,786
2054,1,1026
3052,1,1528
1011,1,507
2147,1,1075
2459,1,1231
468,1,236
1604,1,804
2740,1,1372
961,1,481
3002,1,1502
1866,1,934
1273,1,637
3545,1,1773
2409,1,1205
418,1,210
1554,1,778
1816,1,908
2952,1,1476
606,1,302
680,1,340
13,1,5
1223,1,611
1199,1,599
63,1,31
3214,1,1606
673,1,337
1461,1,729
351,1,175
3197,1,1597
2080,1,1040
3190,1,1594
1849,1,925
2985,1,1493
3469,1,1733
2333,1,1165
994,1,498
342,1,170
1478,1,738
1587,1,795
2071,1,1035
3207,1,1603
2723,1,1363
3316,1,1660
80,1,40
1206,1,602
2342,1,1170
613,1,305
3281,1,1641
30,1,14
1028,1,516
2935,1,1467
3323,1,1663
1290,1,646
2597,1,1297
944,1,472
3019,1,1511
359,1,179
1495,1,747
2063,1,1031
927,1,463
952,1,476
2656,1,1328
2088,1,1044
384,1,192
1520,1,760
2943,1,1471
3511,1,1755
72,1,36
1782,1,890
2918,1,1458
3486,1,1742
2350,1,1174
1757,1,877
3461,1,1729
1189,1,593
2325,1,1161
2893,1,1445
902,1,450
334,1,166
122,1,62
2681,1,1341
164,1,84
690,1,346
1340,1,672
3249,1,1625
1883,1,943
885,1,441
969,1,485
1453,1,725
317,1,157
1537,1,769
2021,1,1009
401,1,201
2130,1,1066
2614,1,1306
2698,1,1350
1562,1,782
2046,1,1022
732,1,368
139,1,71
3044,1,1524
3528,1,1764
1908,1,956
2392,1,1196
1315,1,659
1799,1,899
3348,1,1676
97,1,49
581,1,289
55,1,27
2960,1,1480
2476,1,1240
1231,1,615
2653,1,1325
1348,1,676
162,1,82
705,1,353
3296,1,1648
400,1,200
2958,1,1478
1043,1,523
3501,1,1749
500,1,252
2415,1,1207
1586,1,794
638,1,318
3363,1,1683
95,1,47
738,1,370
1222,1,610
2236,1,1120
2720,1,1360
136,1,68
1593,1,797
2077,1,1037
2467,1,1235
3322,1,1662
2679,1,1339
1865,1,933
2508,1,1256
772,1,388
3025,1,1513
779,1,391
950,1,474
433,1,217
917,1,457
2162,1,1082
2646,1,1322
1898,1,950
2382,1,1190
1076,1,540
1560,1,780
2984,1,1492
3289,1,1645
1255,1,627
467,1,235
2203,1,1103
2341,1,1169
128,1,64
1832,1,916
671,1,335
3330,1,1666
103,1,51
2787,1,1395
646,1,322
3355,1,1679
2069,1,1033
1932,1,968
203,1,103
1526,1,762
3255,1,1627
1527,1,763
341,1,169
1627,1,815
2374,1,1186
3356,1,1680
645,1,321
1084,1,544
3560,1,1780
1831,1,915
1790,1,894
61,1,29
1281,1,641
1765,1,881
713,1,357
407,1,203
1322,1,662
1806,1,902
77,1,37
2136,1,1068
1652,1,828
2745,1,1373
3229,1,1613
2966,1,1482
492,1,248
976,1,488
3051,1,1527
3535,1,1767
2137,1,1069
2095,1,1047
3092,1,1548
3493,1,1745
2441,1,1221
366,1,182
2925,1,1461
1017,1,509
1501,1,749
228,1,116
712,1,356
2746,1,1374
3230,1,1614
3050,1,1526
3534,1,1766
408,1,204
3221,1,1609
780,1,392
2085,1,1041
2678,1,1338
449,1,225
1280,1,640
3552,1,1776
2416,1,1208
687,1,343
2178,1,1090
1042,1,522
1823,1,911
2959,1,1479
1635,1,819
2771,1,1387
94,1,46
2366,1,1182
1230,1,614
1773,1,885
2228,1,1116
3364,1,1684
637,1,317
1018,1,510
375,1,187
1890,1,946
161,1,81
2433,1,1217
1568,1,784
170,1,86
654,1,326
2211,1,1107
2695,1,1347
2804,1,1404
3288,1,1644
2161,1,1081
2645,1,1321
2976,1,1488
3297,1,1649
2492,1,1248
763,1,383
1247,1,623
1899,1,951
2383,1,1191
2942,1,1470
516,1,260
1213,1,605
2349,1,1173
3559,1,1779
1035,1,519
425,1,213
909,1,453
3026,1,1514
2500,1,1252
1297,1,649
3033,1,1517
771,1,387
958,1,478
951,1,475
2687,1,1343
1857,1,929
2169,1,1085
2737,1,1369
3305,1,1653
3068,1,1536
2475,1,1239
1339,1,671
746,1,374
1882,1,942
2119,1,1059
153,1,77
1289,1,645
2712,1,1356
1576,1,788
1907,1,955
2917,1,1457
358,1,178
1551,1,775
178,1,90
2450,1,1226
721,1,361
3280,1,1640
2779,1,1391
3263,1,1631
3347,1,1675
1025,1,513
1272,1,636
1356,1,680
1840,1,920
1509,1,753
220,1,112
704,1,352
788,1,396
1924,1,964
2408,1,1204
679,1,339
2102,1,1050
2186,1,1094
2670,1,1334
195,1,99
1534,1,766
1618,1,810
2754,1,1378
3238,1,1618
111,1,55
333,1,165
3001,1,1501
3485,1,1741
442,1,222
926,1,462
484,1,244
3043,1,1523
1314,1,658
1798,1,898
69,1,33
2144,1,1072
1660,1,832
212,1,108
755,1,379
3246,1,1622
2703,1,1351
2053,1,1025
1948,1,976
2491,1,1247
1510,1,754
3034,1,1518
967,1,483
1305,1,653
424,1,212
2696,1,1348
2153,1,1077
112,1,56
1848,1,924
417,1,209
2391,1,1195
1610,1,806
119,1,59
1067,1,535
3339,1,1671
2934,1,1466
662,1,330
2941,1,1469
1205,1,601
1060,1,532
2796,1,1400
86,1,42
2127,1,1063
3372,1,1688
2729,1,1365
3213,1,1605
1331,1,667
1815,1,907
2458,1,1230
1000,1,500
729,1,365
3075,1,1539
383,1,191
1372,1,688
357,1,177
2086,1,1042
391,1,195
2120,1,1060
1636,1,820
993,1,497
1477,1,737
3551,1,1775
3067,1,1535
2763,1,1383
3510,1,1754
45,1,21
1781,1,889
3517,1,1757
688,1,344
2424,1,1212
695,1,347
1034,1,518
1264,1,632
696,1,348
1239,1,619
2194,1,1098
2762,1,1382
1807,1,903
78,1,38
3380,1,1692
933,1,465
3205,1,1601
796,1,400
2662,1,1330
2425,1,1213
1001,1,501
1569,1,785
959,1,479
3518,1,1758
1789,1,893
2499,1,1251
2357,1,1177
1502,1,750
2637,1,1317
1364,1,684
365,1,181
2094,1,1046
2457,1,1229
1544,1,772
1306,1,654
1874,1,938
145,1,73
629,1,313
1197,1,597
1059,1,531
1543,1,771
186,1,94
670,1,334
2788,1,1396
3272,1,1636
1915,1,959
2399,1,1199
2373,1,1185
1611,1,807
2524,1,1264
3008,1,1504
3576,1,1788
3009,1,1505
450,1,226
934,1,466
1238,1,618
754,1,378
491,1,247
975,1,487
2220,1,1112
2704,1,1352
3313,1,1657
2483,1,1243
2967,1,1483
1916,1,960
187,1,95
1323,1,663
3271,1,1635
730,1,366
137,1,69
2721,1,1361
1585,1,793
3314,1,1658
87,1,43
2516,1,1260
1485,1,741
3526,1,1762
475,1,239
1797,1,897
2204,1,1104
942,1,470
3059,1,1531
399,1,199
1330,1,666
2671,1,1335
1873,1,937
2128,1,1064
2983,1,1491
2111,1,1055
925,1,461
3076,1,1540
2654,1,1326
382,1,190
1347,1,675
3331,1,1667
2195,1,1099
120,1,60
1256,1,628
1856,1,928
2992,1,1496
3509,1,1753
466,1,234
3338,1,1670
1602,1,802
1263,1,631
1864,1,932
349,1,173
1906,1,954
2390,1,1194
2078,1,1038
1594,1,798
1068,1,536
1552,1,776
2950,1,1474
2466,1,1234
508,1,256
992,1,496
737,1,369
1221,1,609
3247,1,1623
204,1,104
1940,1,972
1518,1,758
3254,1,1626
1214,1,606
53,1,25
621,1,309
196,1,100
3000,1,1500
3042,1,1522
2474,1,1238
2432,1,1216
3017,1,1509
416,1,208
984,1,492
458,1,230
3543,1,1771
1026,1,514
2975,1,1487
2755,1,1379
1246,1,622
1814,1,906
483,1,243
2187,1,1095
2212,1,1108
1644,1,824
154,1,78
441,1,221
2713,1,1357
1288,1,644
2170,1,1086
70,1,34
1009,1,505
2145,1,1073
2629,1,1313
1493,1,745
663,1,331
2738,1,1370
3222,1,1610
179,1,91
3084,1,1544
3568,1,1784
1881,1,941
1923,1,963
2407,1,1203
2365,1,1181
2449,1,1225
374,1,186
1355,1,679
1839,1,919
2933,1,1465
1051,1,527
1535,1,767
1619,1,811
2103,1,1051
2780,1,1392
3264,1,1632
1577,1,789
2061,1,1029
747,1,375
3306,1,1654
381,1,189
2422,1,1210
2965,1,1481
2110,1,1054
1567,1,783
1024,1,512
3058,1,1530
786,1,394
1329,1,665
3065,1,1533
1972,1,988
243,1,123
2515,1,1259
2727,1,1363
686,1,342
2184,1,1092
1229,1,613
1872,1,936
1541,1,769
3270,1,1634
143,1,71
1091,1,547
548,1,276
2820,1,1412
2177,1,1089
3370,1,1686
1634,1,818
2548,1,1276
3032,1,1516
507,1,255
991,1,495
1303,1,651
1905,1,953
2389,1,1193
1939,1,971
1600,1,800
957,1,477
210,1,106
2686,1,1342
1296,1,648
3337,1,1669
812,1,408
3303,1,1651
2251,1,1127
169,1,85
653,1,325
481,1,241
965,1,481
176,1,88
474,1,238
2210,1,1106
2694,1,1346
2991,1,1495
1262,1,630
2998,1,1498
1124,1,564
1608,1,804
1601,1,801
1913,1,957
2481,1,1241
1058,1,530
1626,1,814
1083,1,543
2812,1,1408
3549,1,1773
990,1,494
2693,1,1345
2719,1,1359
2456,1,1228
727,1,363
2176,1,1088
202,1,102
1388,1,696
1057,1,529
2761,1,1381
3329,1,1665
1931,1,967
2218,1,1110
2786,1,1394
3311,1,1655
102,1,50
3574,1,1786
1032,1,516
2661,1,1329
3024,1,1512
752,1,376
1295,1,647
3575,1,1787
448,1,224
1016,1,508
1668,1,836
2523,1,1263
3091,1,1547
1362,1,682
1846,1,922
794,1,398
2414,1,1206
685,1,341
3132,1,1568
2482,1,1242
753,1,377
1237,1,617
2109,1,1053
1363,1,683
2760,1,1380
422,1,210
1667,1,835
2151,1,1075
1321,1,661
1805,1,901
3396,1,1700
949,1,473
1099,1,551
499,1,251
3345,1,1673
1692,1,848
2802,1,1402
1092,1,548
2828,1,1416
2685,1,1341
2159,1,1079
2142,1,1070
973,1,485
168,1,84
2440,1,1220
711,1,355
2702,1,1350
3328,1,1664
1354,1,678
3090,1,1546
1897,1,949
