from_agg_id,level_id,to_agg_id
2041,1,1021
1498,1,750
3227,1,1615
955,1,479
2684,1,1344
3539,1,1771
1405,1,701
1398,1,698
3134,1,1566
855,1,427
2591,1,1295
2584,1,1292
312,1,156
74,1,38
2346,1,1174
617,1,309
1260,1,632
3532,1,1768
3201,1,1601
2658,1,1330
1803,1,903
1710,1,854
517,1,257
2253,1,1125
1160,1,580
2896,1,1448
1703,1,851
3439,1,1719
2651,1,1327
888,1,444
2963,1,1483
576,1,288
245,1,121
2286,1,1142
922,1,462
1974,1,986
67,1,35
279,1,139
1531,1,767
2015,1,1007
1524,1,764
2008,1,1004
3260,1,1632
2617,1,1309
3101,1,1549
2956,1,1480
1227,1,615
3234,1,1618
2279,1,1139
550,1,274
2625,1,1313
100,1,52
584,1,292
1836,1,920
2320,1,1160
2922,1,1462
3406,1,1702
1193,1,597
1677,1,837
3268,1,1636
2525,1,1261
3093,1,1545
253,1,125
821,1,409
2550,1,1274
1982,1,990
1457,1,729
1152,1,576
2650,1,1326
2107,1,1055
2387,1,1195
558,1,278
1126,1,562
2830,1,1414
1101,1,549
1669,1,833
271,1,135
2855,1,1427
2287,1,1143
1226,1,614
33,1,17
2692,1,1348
2412,1,1208
2955,1,1479
379,1,191
863,1,431
947,1,475
1431,1,715
2108,1,1056
2592,1,1296
2676,1,1340
3160,1,1580
8,1,4
3506,1,1754
1777,1,889
2261,1,1129
2345,1,1173
2829,1,1413
1085,1,541
2897,1,1449
822,1,410
338,1,170
1252,1,628
1736,1,868
684,1,344
1168,1,584
7,1,3
948,1,476
643,1,323
1127,1,563
2082,1,1042
2566,1,1282
2040,1,1020
3465,1,1733
337,1,169
1473,1,737
3514,1,1758
930,1,466
3202,1,1602
2066,1,1034
2921,1,1461
387,1,195
1523,1,763
3564,1,1784
2659,1,1331
980,1,492
2116,1,1060
3252,1,1628
668,1,336
75,1,39
3464,1,1732
2328,1,1164
1735,1,867
2914,1,1458
2304,1,1152
2847,1,1423
1185,1,593
575,1,287
1118,1,558
1661,1,829
1973,1,985
1447,1,723
3176,1,1588
2533,1,1265
313,1,157
1990,1,994
2395,1,1199
1456,1,728
404,1,204
320,1,160
1540,1,772
3447,1,1723
3531,1,1767
2854,1,1426
58,1,30
542,1,270
1678,1,838
1194,1,598
108,1,56
592,1,296
3497,1,1749
1787,1,895
2237,1,1117
2321,1,1161
246,1,122
1711,1,855
1795,1,899
66,1,34
3109,1,1553
2099,1,1051
2583,1,1291
3185,1,1593
3430,1,1714
3405,1,1701
2837,1,1417
846,1,422
1414,1,706
278,1,138
2007,1,1003
3143,1,1571
871,1,435
1439,1,719
2575,1,1287
896,1,448
2600,1,1300
1464,1,732
2032,1,1016
3168,1,1584
3455,1,1727
16,1,8
3193,1,1597
2363,1,1183
634,1,318
1202,1,602
1745,1,873
1177,1,589
3235,1,1619
2049,1,1025
676,1,340
1219,1,611
1506,1,754
2988,1,1496
3472,1,1736
3556,1,1780
2904,1,1452
1728,1,864
1481,1,741
1965,1,981
1244,1,624
829,1,413
651,1,327
1135,1,567
2558,1,1278
3210,1,1606
2074,1,1038
1770,1,886
2254,1,1126
2338,1,1170
41,1,21
525,1,261
609,1,305
1093,1,545
913,1,457
1397,1,697
1812,1,908
2296,1,1148
2642,1,1322
3126,1,1562
83,1,43
567,1,283
905,1,453
3177,1,1589
2946,1,1474
3489,1,1745
2634,1,1318
362,1,182
2091,1,1047
1548,1,776
2541,1,1269
805,1,401
262,1,130
1998,1,998
1991,1,995
1448,1,724
3184,1,1592
600,1,300
2872,1,1436
1143,1,571
288,1,144
355,1,179
1686,1,842
2972,1,1488
1236,1,620
1243,1,623
3515,1,1759
50,1,26
1786,1,894
57,1,29
2329,1,1165
295,1,147
2879,1,1439
972,1,488
2024,1,1012
1381,1,689
329,1,165
2370,1,1186
2058,1,1030
3151,1,1575
931,1,467
1415,1,707
2667,1,1335
938,1,470
1422,1,710
1753,1,877
2805,1,1401
3448,1,1724
2065,1,1033
2396,1,1200
667,1,335
1719,1,859
626,1,314
1110,1,554
2362,1,1182
2846,1,1422
1117,1,557
24,1,12
1389,1,693
1957,1,977
3118,1,1558
2057,1,1029
1794,1,898
559,1,279
3243,1,1623
2980,1,1492
964,1,484
3523,1,1763
116,1,60
1820,1,912
2388,1,1196
659,1,331
91,1,47
3117,1,1557
839,1,419
296,1,148
1489,1,745
3218,1,1610
797,1,397
534,1,266
2675,1,1339
2813,1,1405
396,1,200
254,1,126
1515,1,759
1999,1,999
2083,1,1043
2567,1,1283
3244,1,1624
2938,1,1470
3422,1,1710
3397,1,1697
2913,1,1457
838,1,418
270,1,134
354,1,178
601,1,301
2124,1,1064
2608,1,1304
229,1,113
3381,1,1689
1694,1,846
1778,1,890
2262,1,1130
1210,1,606
49,1,25
533,1,265
864,1,432
380,1,192
2939,1,1471
3423,1,1711
3507,1,1755
1169,1,585
1556,1,780
3548,1,1776
906,1,454
2303,1,1151
1819,1,911
2609,1,1305
2278,1,1138
3414,1,1706
1685,1,841
2821,1,1409
618,1,310
25,1,13
2871,1,1435
32,1,16
642,1,322
3276,1,1640
2633,1,1317
1828,1,916
2371,1,1187
99,1,51
1499,1,751
237,1,117
956,1,480
1966,1,982
3159,1,1579
1423,1,711
880,1,440
2616,1,1308
3135,1,1567
897,1,449
92,1,48
813,1,405
3481,1,1741
1406,1,702
2542,1,1270
2626,1,1314
1490,1,746
1268,1,636
1752,1,876
2404,1,1204
2888,1,1444
1159,1,579
3490,1,1746
2354,1,1178
2838,1,1418
625,1,313
1761,1,881
2245,1,1121
1109,1,553
2549,1,1273
2964,1,1484
2880,1,1440
1151,1,575
1235,1,619
3226,1,1614
889,1,445
1373,1,685
363,1,183
847,1,423
287,1,143
1532,1,768
2016,1,1008
321,1,161
2930,1,1466
3473,1,1737
1201,1,601
2337,1,1169
914,1,458
371,1,187
1507,1,755
509,1,253
2100,1,1052
2700,1,1352
3125,1,1561
1744,1,872
2312,1,1156
3142,1,1570
583,1,291
3456,1,1728
3498,1,1750
1769,1,885
1440,1,720
1482,1,742
1727,1,863
2270,1,1134
939,1,471
541,1,269
2668,1,1336
1465,1,733
1949,1,973
2033,1,1017
2517,1,1257
3540,1,1772
872,1,436
2295,1,1147
388,1,196
1811,1,907
2947,1,1475
3431,1,1715
566,1,282
1702,1,850
1218,1,610
3167,1,1583
3251,1,1627
